,Reactant_pair,KEGG_reactions,source,target,CAR,RPAIR_main,MW,num_reactions
6364,C01230_C00353,R09246,C01230,C00353,-999.0,True,0.1313567655740935,1
6365,C01230_C00448,R09245,C01230,C00448,-999.0,True,0.2108857857200059,1
6366,C01230_C04216,R05612,C01230,C04216,-999.0,True,0.054867547437489214,1
6367,C01230_C04217,R05613,C01230,C04217,-999.0,True,0.061630585594951715,1
6368,C01230_C13425,R05616,C01230,C13425,-999.0,True,0.03516142632972593,1
6369,C01230_C21717,R11854,C01230,C21717,-999.0,True,0.17880523220326192,1
6370,C01231_C00103,"R00949,R00960,R01660",C01231,C00103,-999.0,True,0.13324203720934077,3
6371,C01233_C00093,R01470,C01233,C00093,-999.0,True,0.11123048208166418,1
6372,C01233_C00189,R01470,C01233,C00189,-999.0,True,0.5577131914298579,1
6373,C01233_C04438,R03416,C01233,C04438,-999.0,True,0.27979203638220884,1
6374,C01233_C04635,R03415,C01233,C04635,-999.0,True,0.2835600942538635,1
6375,C01233_C05973,R03417,C01233,C05973,-999.0,True,0.27979203638220884,1
6376,C01234_C00019,R00179,C01234,C00019,-999.0,True,0.5952214127671412,1
6377,C01234_C00109,R00997,C01234,C00109,-999.0,True,0.00483281984294408,1
6378,C01234_C00177,R07214,C01234,C00177,-999.0,True,0.5906423501829496,1
6379,C01234_C06547,R07214,C01234,C06547,-999.0,True,0.5656173015560996,1
6380,C01235_C00052,R01192,C01235,C00052,-999.0,True,0.2465402738652955,1
6381,C01235_C00124,R01194,C01235,C00124,-999.0,True,0.31034429897800314,1
6382,C01235_C00137,"R01192,R01194,R02411,R03418",C01235,C00137,-999.0,True,0.31034429897800314,4
6383,C01235_C00492,R02411,C01235,C00492,-999.0,True,0.19148916045278894,1
6384,C01235_C01613,R03418,C01235,C01613,-999.0,True,0.32142828790824973,1
6385,C01236_C00092,"R00835,R09550,R10520",C01236,C00092,-999.0,True,0.0038899994522163354,3
6386,C01236_C00345,R02035,C01236,C00345,-999.0,True,0.033721913940009784,1
6387,C01236_C01172,"R02736,R10907",C01236,C01172,-999.0,True,0.0038899994522163354,2
6388,C01239_C04375,R08707,C01239,C04375,-999.0,True,0.2413230026262268,1
6389,C01239_C04540,R03421,C01239,C04540,-999.0,True,0.20716556287478338,1
6390,C01240_C03418,R03422,C01240,C03418,-999.0,True,0.044136957626281476,1
6391,C01240_C03419,R03423,C01240,C03419,-999.0,True,0.044136957626281476,1
6392,C01241_C00350,R02056,C01241,C00350,-999.0,True,0.025394790636201023,1
6393,C01241_C04308,R03424,C01241,C04308,-999.0,True,0.02416734148186952,1
6394,C01242_C00037,R03425,C01242,C00037,-999.0,True,0.2211484081052212,1
6395,C01242_C00143,R04125,C01242,C00143,-999.0,True,0.5907155452170015,1
6396,C01242_C02051,R03425,C01242,C02051,-999.0,True,0.07063200375385678,1
6397,C01242_C02972,R04125,C01242,C02972,-999.0,True,0.06574610618550292,1
6398,C01243_C01272,"R03428,R03430",C01243,C01272,-999.0,True,0.08691768143414748,2
6399,C01243_C04062,R10950,C01243,C04062,-999.0,True,0.10520624767468878,1
6400,C01243_C04063,R03427,C01243,C04063,-999.0,True,0.10520624767468878,1
6401,C01243_C04477,R03429,C01243,C04477,-999.0,True,0.08691768143414748,1
6402,C01244_C01060,R03207,C01244,C01060,-999.0,True,0.0011955001084557836,1
6403,C01244_C04367,R03431,C01244,C04367,-999.0,True,0.0023282349273024633,1
6404,C01245_C01220,R03394,C01245,C01220,-999.0,True,0.10520624767468878,1
6405,C01245_C01272,"R03433,R03434",C01245,C01272,-999.0,True,0.08691768143414748,2
6406,C01245_C01284,R10065,C01245,C01284,-999.0,True,0.15993424878223136,1
6407,C01245_C04637,R03435,C01245,C04637,-999.0,True,0.13228031242341398,1
6408,C01245_C11555,R05800,C01245,C11555,-999.0,True,0.08691768143414748,1
6409,C01246_C00029,R01005,C01246,C00029,-999.0,True,0.646600100245695,1
6410,C01246_C00031,R01006,C01246,C00031,-999.0,True,0.1942803724443637,1
6411,C01246_C00110,"R01005,R01006",C01246,C00110,-999.0,True,0.19696283214353258,2
6412,C01246_C21902,R12100,C01246,C21902,-999.0,True,0.16490085279541014,1
6413,C01247_C01139,"R03272,R03273",C01247,C01139,-999.0,True,0.23509526847888182,2
6414,C01249_C01111,R03251,C01249,C01111,-999.0,True,0.004536984515431614,1
6415,C01249_C01717,"R03439,R03440,R03441",C01249,C01717,-999.0,True,0.08249342768124635,3
6416,C01250_C00024,R12085,C01250,C00024,-999.0,True,0.6475855550051431,1
6417,C01250_C00437,R02283,C01250,C00437,-999.0,True,0.0029766531278559998,1
6418,C01250_C01165,R12085,C01250,C01165,-999.0,True,0.13813999297357873,1
6419,C01250_C04133,R03443,C01250,C04133,-999.0,True,0.21699064416457384,1
6420,C01251_C00024,R00271,C01251,C00024,-999.0,True,0.5940866402088671,1
6421,C01251_C00026,R00271,C01251,C00026,-999.0,True,0.17048215981217155,1
6422,C01251_C04002,R03444,C01251,C04002,-999.0,True,0.045692952172309904,1
6423,C01251_C05662,R09720,C01251,C05662,-999.0,True,0.0,1
6424,C01252_C00328,"R01956,R01957",C01252,C00328,-999.0,True,0.002489179046386456,2
6425,C01252_C01717,R03445,C01252,C01717,-999.0,True,0.045455004073554024,1
6426,C01253_C00003,R03447,C01253,C00003,-999.0,True,0.05415608518995618,1
6427,C01253_C00301,R03446,C01253,C00301,-999.0,True,0.13940621104229517,1
6428,C01253_C03315,"R03446,R03447",C01253,C03315,-999.0,True,0.5760090911087463,2
6429,C01255_C02378,R00059,C01255,C02378,-999.0,True,0.3013480468984569,1
