,Node,Degree Centrality,PageRank
850,C00122,0.0022538552787663107,0.00040267168463139976
864,C00203,0.0020166073546856464,0.00040109249883840594
1343,C05382,0.0018979833926453143,0.0004003587376050618
4296,C05432,0.0015421115065243178,0.00039999699028722214
2524,C06089,0.0013048635824436535,0.0003977738247435444
1188,C00166,0.0021352313167259784,0.0003973107209697698
1164,C00398,0.00166073546856465,0.00039541579737128183
223,C00979,0.0017793594306049821,0.0003931133921852458
683,C00423,0.0020166073546856464,0.00039263286982105927
30,C00117,0.0022538552787663107,0.00038650994134703867
679,C00164,0.0018979833926453143,0.00038414300694035816
1209,C00355,0.0017793594306049821,0.0003841180723982564
2387,C00318,0.0017793594306049821,0.0003805167366126054
985,C03692,0.0018979833926453143,0.000380326444052014
2332,C00280,0.0015421115065243178,0.00037886754648190483
2623,C02094,0.0015421115065243178,0.00037634629880659254
1802,C00253,0.0017793594306049821,0.00037604959968602506
688,C00811,0.0018979833926453143,0.00037475354046633783
4312,C02105,0.0015421115065243178,0.0003742558941598966
2968,C00509,0.00166073546856465,0.00037173344838891694
761,C00143,0.0018979833926453143,0.00037134305276554085
763,C00188,0.0018979833926453143,0.00037090451966665994
3097,C00596,0.0017793594306049821,0.00036788175946069043
1747,C00137,0.00166073546856465,0.00036676445662103607
5475,C06026,0.0013048635824436535,0.0003646853519432331
4297,C05435,0.0013048635824436535,0.00036304069987824967
471,C01083,0.0018979833926453143,0.00036239688670451013
641,C00095,0.0020166073546856464,0.0003621836876639893
8379,C00059,0.00166073546856465,0.0003592644150033659
804,C00165,0.0021352313167259784,0.0003592158706854785
1600,C00120,0.0014234875444839856,0.0003561065083746391
1156,C00148,0.0017793594306049821,0.0003552045371834229
1208,C00146,0.00166073546856465,0.00035329206699056235
3755,C02188,0.0015421115065243178,0.0003512472021337364
3569,C08616,0.0011862396204033213,0.0003504708369243831
762,C00177,0.0017793594306049821,0.00034643112190580833
2531,C11902,0.0009489916963226571,0.0003462243898100957
8350,C00075,0.0020166073546856464,0.0003460074629261647
542,C08604,0.0015421115065243178,0.00034520640529618857
3117,C00613,0.0014234875444839856,0.00034507323473517584
203,C00140,0.0017793594306049821,0.00034481797462928264
557,C12138,0.0014234875444839856,0.00034366976289075
1212,C01179,0.0017793594306049821,0.00034242728230616235
2252,C00245,0.0017793594306049821,0.0003419149152993175
1575,C00620,0.0018979833926453143,0.0003416739854868449
1805,C00249,0.0014234875444839856,0.00034160009974092977
3316,C00766,0.0010676156583629892,0.00034038625662485535
4298,C06098,0.0014234875444839856,0.00033629361356353173
41,C00212,0.0017793594306049821,0.0003349687761427819
1581,C00197,0.0018979833926453143,0.000334637905680652
1310,C00114,0.0017793594306049821,0.0003345347311380048
204,C00158,0.0017793594306049821,0.0003312858067228358
3421,C02222,0.0014234875444839856,0.0003280308080817424
805,C00195,0.00166073546856465,0.0003254469299282682
90,C00270,0.0017793594306049821,0.0003232136795786913
8392,C00218,0.00166073546856465,0.0003224889096703715
2702,C00410,0.0011862396204033213,0.0003214675256618575
809,C00416,0.0018979833926453143,0.00032051221163638546
209,C00332,0.00166073546856465,0.0003190246728812091
1421,C05345,0.0017793594306049821,0.0003187176088140267
1824,C00530,0.0015421115065243178,0.0003184363606351925
86,C00207,0.0013048635824436535,0.0003184079995248674
2404,C01197,0.0015421115065243178,0.00031758392842132964
439,C00232,0.0017793594306049821,0.0003173851303061044
1574,C00130,0.0018979833926453143,0.0003171605453859012
3218,C11907,0.0014234875444839856,0.00031692281115840414
202,C00136,0.0015421115065243178,0.0003151442745220653
1750,C01177,0.0017793594306049821,0.00031497532166455583
85,C00204,0.0014234875444839856,0.0003127963178070732
1025,C00071,0.0015421115065243178,0.0003094441735383737
4337,C02139,0.0013048635824436535,0.00030893527836228774
81,C00133,0.0015421115065243178,0.000307534858227455
1317,C03167,0.0013048635824436535,0.00030679200553834925
1987,C00221,0.0015421115065243178,0.0003058887650823951
2645,C00389,0.0014234875444839856,0.00030511268526973165
1511,C00632,0.0013048635824436535,0.00030345716597014716
818,C01194,0.00166073546856465,0.0003034105857826418
3228,C00695,0.0013048635824436535,0.00030174713982027796
94,C00546,0.00166073546856465,0.00030168732386787406
867,C01289,0.0014234875444839856,0.00029966752872507716
6223,C19678,0.0010676156583629892,0.0002992431884350993
88,C00251,0.0015421115065243178,0.0002987248710581112
2522,C05421,0.0011862396204033213,0.0002981515944543336
8363,C00144,0.00166073546856465,0.00029788203201914565
1163,C00331,0.0015421115065243178,0.0002978630667642208
1762,C00183,0.0014234875444839856,0.00029758649278538093
964,C00441,0.00166073546856465,0.0002974087254189071
1761,C00141,0.00166073546856465,0.00029642097511880996
556,C12137,0.0013048635824436535,0.000295889268360499
