,id,formula,mol_weight,O,P,Ni,X,Na,Co,I,B,H,C,Br,Mn,F,Hg,As,Fe,N,Se,R,W,S,Cl,Mo,Mg,polymer
1645,C02657,C8H8O3,152.144,3,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1646,C02658,CH2NOR,22.018,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1647,C02659,C4H7NO,85.106,1,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1648,C02660,C8H7NS,149.216,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1649,C02661,CH2BrCl,129.376,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1650,C02666,C10H10O3,178.18,3,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1651,C02669,C6H10O6,178.14,6,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1652,C02670,C6H8O6,176.124,6,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1653,C02671,C5H9N2O3R,72.571,3,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
1654,C02673,C23H30N2O4,398.49,4,0,0,0,0,0,0,0,30,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1655,C02674,C5H8O4,132.114,4,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1656,C02675,C16H14O5,286.272,5,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1657,C02679,C12H24O2,200.312,2,0,0,0,0,0,0,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,C02681,C43H74O7,703.0219999999999,7,0,0,0,0,0,0,0,74,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
